AOA,CL Open,CL open Max,CL open min,CL open mean ,CL Closed,CL Closed max,Cl closed min ,Cl closed mean ,tPA_closed,tPA_open
0.55148,-0.051883,0.061355,-0.073243,-0.015365433,-0.0030675,0.040699,-0.033892,-8.48588E-06,6.4051,6.4051
0.55177,-0.051907,0.061355,-0.073243,-0.015365433,-0.0031158,0.040699,-0.033892,-8.48588E-06,6.4061,6.4061
0.55199,-0.051932,0.061355,-0.073243,-0.015365433,-0.0031629,0.040699,-0.033892,-8.48588E-06,6.4071,6.4071
0.55218,-0.051957,0.061355,-0.073243,-0.015365433,-0.0032088,0.040699,-0.033892,-8.48588E-06,6.4081,6.4081
0.55242,-0.051983,0.061355,-0.073243,-0.015365433,-0.0032533,0.040699,-0.033892,-8.48588E-06,6.4091,6.4091
0.55261,-0.05201,0.061355,-0.073243,-0.015365433,-0.0032965,0.040699,-0.033892,-8.48588E-06,6.4101,6.4101
0.55282,-0.052036,0.061355,-0.073243,-0.015365433,-0.0033383,0.040699,-0.033892,-8.48588E-06,6.4111,6.4111
0.55304,-0.052064,0.061355,-0.073243,-0.015365433,-0.0033787,0.040699,-0.033892,-8.48588E-06,6.4121,6.4121
0.55321,-0.052092,0.061355,-0.073243,-0.015365433,-0.0034176,0.040699,-0.033892,-8.48588E-06,6.4131,6.4131
0.55342,-0.05212,0.061355,-0.073243,-0.015365433,-0.003455,0.040699,-0.033892,-8.48588E-06,6.4141,6.4141
0.55364,-0.052149,0.061355,-0.073243,-0.015365433,-0.0034909,0.040699,-0.033892,-8.48588E-06,6.4151,6.4151
0.55385,-0.052178,0.061355,-0.073243,-0.015365433,-0.0035251,0.040699,-0.033892,-8.48588E-06,6.4161,6.4161
0.55402,-0.052207,0.061355,-0.073243,-0.015365433,-0.0035578,0.040699,-0.033892,-8.48588E-06,6.4171,6.4171
0.55416,-0.052237,0.061355,-0.073243,-0.015365433,-0.0035888,0.040699,-0.033892,-8.48588E-06,6.4181,6.4181
0.55433,-0.052266,0.061355,-0.073243,-0.015365433,-0.0036182,0.040699,-0.033892,-8.48588E-06,6.4191,6.4191
0.55452,-0.052296,0.061355,-0.073243,-0.015365433,-0.0036458,0.040699,-0.033892,-8.48588E-06,6.4201,6.4201
0.55474,-0.052326,0.061355,-0.073243,-0.015365433,-0.0036717,0.040699,-0.033892,-8.48588E-06,6.4211,6.4211
0.55495,-0.052356,0.061355,-0.073243,-0.015365433,-0.0036958,0.040699,-0.033892,-8.48588E-06,6.4221,6.4221
0.55517,-0.052386,0.061355,-0.073243,-0.015365433,-0.0037182,0.040699,-0.033892,-8.48588E-06,6.4231,6.4231
0.55534,-0.052416,0.061355,-0.073243,-0.015365433,-0.0037387,0.040699,-0.033892,-8.48588E-06,6.4241,6.4241
0.55555,-0.052446,0.061355,-0.073243,-0.015365433,-0.0037574,0.040699,-0.033892,-8.48588E-06,6.4251,6.4251
0.5557,-0.052476,0.061355,-0.073243,-0.015365433,-0.0037741,0.040699,-0.033892,-8.48588E-06,6.4261,6.4261
0.55582,-0.052506,0.061355,-0.073243,-0.015365433,-0.003789,0.040699,-0.033892,-8.48588E-06,6.4271,6.4271
0.55608,-0.052535,0.061355,-0.073243,-0.015365433,-0.0038019,0.040699,-0.033892,-8.48588E-06,6.4281,6.4281
0.55622,-0.052565,0.061355,-0.073243,-0.015365433,-0.0038128,0.040699,-0.033892,-8.48588E-06,6.4291,6.4291
0.55644,-0.052594,0.061355,-0.073243,-0.015365433,-0.0038217,0.040699,-0.033892,-8.48588E-06,6.4301,6.4301
0.55665,-0.052622,0.061355,-0.073243,-0.015365433,-0.0038286,0.040699,-0.033892,-8.48588E-06,6.4311,6.4311
0.55685,-0.052651,0.061355,-0.073243,-0.015365433,-0.0038334,0.040699,-0.033892,-8.48588E-06,6.4321,6.4321
